"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @arpatoscana: Comunicare la gestione dei #rifiuti urbani con gli #Opendata: il 7 marzo  Università di #Salerno https://t.co/9Mup7ZWMR1 #…",FALSE,0,NA,2017-02-16 11:34:24,FALSE,NA,"832191393619701760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cittadinireatti",4,TRUE,FALSE,NA,NA
"@OpenStateEU wat is een stembureau zonder #opendata van kiesdistricten? https://t.co/vkCyaSiNE9",FALSE,3,"OpenStateEU",2017-02-16 11:34:23,FALSE,"831901032485621760","832191390985682950","461193740","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","GeenPeil14",0,FALSE,FALSE,NA,NA
"RT @greenvincent: Pour en savoir + sur l'état des villes en matière d'#OpenData, de #Mobilité et d'#EcoCollab, suivez : @LeLabOSC (bientôt…",FALSE,0,NA,2017-02-16 11:34:20,FALSE,NA,"832191377836478465",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Energie2007",5,TRUE,FALSE,NA,NA
"RT @Courdecassation: [Notions] Justice et #OpenData, par Bertrand Louvel, Premier président de la @Courdecassation : https://t.co/DZJ0OgIRh…",FALSE,0,NA,2017-02-16 11:33:59,FALSE,NA,"832191290146189313",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BriandMichelle",44,TRUE,FALSE,NA,NA
"Pour en savoir + sur l'état des villes en matière d'#OpenData, de #Mobilité et d'#EcoCollab, suivez : @LeLabOSC (bientôt des publications)",FALSE,4,NA,2017-02-16 11:33:53,FALSE,NA,"832191266553286656",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","greenvincent",5,FALSE,FALSE,NA,NA
"RT @SurreyCoDE: Our expert @carlabonina on the long arm of #opendata https://t.co/h04oOIB0Ee @sbsatsurrey @unisurreynews @alanwbrown https:…",FALSE,0,NA,2017-02-16 11:33:29,FALSE,NA,"832191162383474688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CarlaBonina",5,TRUE,FALSE,NA,NA
"RT @ICTscienceEU: The science of #openscience publishing by @OpenAIRE_eu https://t.co/lmvMZ1A9xB #openaccess #opendata https://t.co/gXFdob6…",FALSE,0,NA,2017-02-16 11:33:06,FALSE,NA,"832191067277520896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dasaptaerwin",25,TRUE,FALSE,NA,NA
"Interesting @CelinaAgaton #MapPH points about the power of #mapping #resilience #opendata linked to high #digital u… https://t.co/tEy0CDN0Db",FALSE,2,NA,2017-02-16 11:32:11,TRUE,NA,"832190837056487424",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Eddyca1",1,FALSE,FALSE,NA,NA
"@ValenbisiOfi En el #opendata de @JCDecauxDev están actualizadas las nuevas localizaciones de #EVB? /cc @sensenick @biciv",FALSE,1,"ValenbisiOfi",2017-02-16 11:31:45,FALSE,"831887924245491712","832190727325106176","739000415694557184","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","valenbisi_es",0,FALSE,FALSE,NA,NA
"RT @ICTscienceEU: The science of #openscience publishing by @OpenAIRE_eu https://t.co/lmvMZ1A9xB #openaccess #opendata https://t.co/gXFdob6…",FALSE,0,NA,2017-02-16 11:30:54,FALSE,NA,"832190514753593344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SDawsonBerlin",25,TRUE,FALSE,NA,NA
"RT @Bitkom_Software: Großes Plädoyer von Sabrina Zeplin von @otto_de für #OpenData und #Datendemokratie beim #BDS17 Bedeutung steigt, denn…",FALSE,0,NA,2017-02-16 11:30:51,FALSE,NA,"832190500669157376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KoryAlex",5,TRUE,FALSE,NA,NA
"RT @EnvAgency: Come rain or shine we monitor rainfall &amp; river levels across country. Our rainfall #data now available as #opendata https://…",FALSE,0,NA,2017-02-16 11:30:50,FALSE,NA,"832190496399355905",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aizlewoodsmill",30,TRUE,FALSE,NA,NA
"RT @michaelbrobbey7: CABI using #geodata to help address pest issues #G4IFF @CABI_News #opendata @godanSec",FALSE,0,NA,2017-02-16 11:30:37,FALSE,NA,"832190442104029184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AndreaJPowell",2,TRUE,FALSE,NA,NA
"RT @Holo_08: #dataserv Le guide juridique #opendata pour la recherche est téléchargeable https://t.co/CPL1klKfjn",FALSE,0,NA,2017-02-16 11:30:26,FALSE,NA,"832190394871971841",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BibdesPonts",10,TRUE,FALSE,NA,NA
"Adding vitamin D to food reduces deaths - QMU scientists reanalysed raw data from 25 clinical trials https://t.co/OZMdTTnzY4 #opendata",FALSE,0,NA,2017-02-16 11:30:25,FALSE,NA,"832190393936658432",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","UCLanRDM",0,FALSE,FALSE,NA,NA
"Nova titulació #OpenData! Converteix-te en professional del #MarketingData. Matricula't! https://t.co/krZFJtysGz… https://t.co/ALciAaxfLy",FALSE,0,NA,2017-02-16 11:30:02,TRUE,NA,"832190294334459908",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","iopendatabcn",0,FALSE,FALSE,NA,NA
"RT @ODIHQ: How can #opendata portals become sustainable? We make recs. in new research commissioned by @EU_DataPortal https://t.co/eKVxpUJ0…",FALSE,0,NA,2017-02-16 11:29:46,FALSE,NA,"832190227024343040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FrauHelbig",22,TRUE,FALSE,NA,NA
"RT @EnvAgency: Come rain or shine we monitor rainfall &amp; river levels across country. Our rainfall #data now available as #opendata https://…",FALSE,0,NA,2017-02-16 11:29:37,FALSE,NA,"832190191385329664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","biconnections",30,TRUE,FALSE,NA,NA
"Großes Plädoyer von Sabrina Zeplin von @otto_de für #OpenData und #Datendemokratie beim #BDS17 Bedeutung steigt, de… https://t.co/HGzlHhPPFZ",FALSE,8,NA,2017-02-16 11:29:29,TRUE,NA,"832190159093379072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bitkom_Software",5,FALSE,FALSE,NA,NA
"CABI using #geodata to help address pest issues #G4IFF @CABI_News #opendata @godanSec",FALSE,4,NA,2017-02-16 11:28:21,FALSE,NA,"832189871171235840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","michaelbrobbey7",2,FALSE,FALSE,NA,NA
"RT @opendata_fr: #Opendata : publication du dernier décret concernant les redevances de réutilisation  https://t.co/wDA2ePEISr",FALSE,0,NA,2017-02-16 11:28:08,FALSE,NA,"832189817425424385",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eric_loiseau",18,TRUE,FALSE,NA,NA
"RT @EnvAgency: Come rain or shine we monitor rainfall &amp; river levels across country. Our rainfall #data now available as #opendata https://…",FALSE,0,NA,2017-02-16 11:27:51,FALSE,NA,"832189746231312384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bellhagg",30,TRUE,FALSE,NA,NA
"RT @ODIHQ: How can #opendata portals become sustainable? We make recs. in new research commissioned by @EU_DataPortal https://t.co/eKVxpUJ0…",FALSE,0,NA,2017-02-16 11:27:45,FALSE,NA,"832189722894151680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LinetData",22,TRUE,FALSE,NA,NA
"RT @EnvAgency: Come rain or shine we monitor rainfall &amp; river levels across country. Our rainfall #data now available as #opendata https://…",FALSE,0,NA,2017-02-16 11:27:28,FALSE,NA,"832189650403987457",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HarelDan",30,TRUE,FALSE,NA,NA
"RT @brubriefings: #OpenData has transformed our everyday tasks, how can it transform #agriculture &amp;nutrition? Visit BB40 https://t.co/MKKLX…",FALSE,0,NA,2017-02-16 11:27:28,FALSE,NA,"832189649577705472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Christelkenou",7,TRUE,FALSE,NA,NA
"RT @seeksanusername: A suivre auj. #dataserv 
(#recherche #opendata #GestionDonnées)
prog &gt; https://t.co/1fvUyc9jZv
webcast &gt; https://t.co/…",FALSE,0,NA,2017-02-16 11:27:24,FALSE,NA,"832189634885120000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cmalleret",3,TRUE,FALSE,NA,NA
"RT @EnvAgency: Come rain or shine we monitor rainfall &amp; river levels across country. Our rainfall #data now available as #opendata https://…",FALSE,0,NA,2017-02-16 11:26:51,FALSE,NA,"832189493939691521",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CheshamCouncil",30,TRUE,FALSE,NA,NA
"How can #opendata portals become sustainable? We make recs. in new research commissioned by @EU_DataPortal https://t.co/eKVxpUJ0X8",FALSE,21,NA,2017-02-16 11:26:41,FALSE,NA,"832189451535253504",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ODIHQ",22,FALSE,FALSE,NA,NA
"How can #opendata portals become sustainable? We make recs. in new research commissioned by @EU_DataPortal https://t.co/GAUE3QHMsp",FALSE,1,NA,2017-02-16 11:26:41,FALSE,NA,"832189451396902915",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Anna_D_Scott",0,FALSE,FALSE,NA,NA
"RT @opengovpart: A recent study by #France's @HATVP finds that #OpenData can improve public integrity &amp; fight #Corruption https://t.co/XH35…",FALSE,0,NA,2017-02-16 11:26:28,FALSE,NA,"832189397906944000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Werner_CHZ",79,TRUE,FALSE,NA,NA
"RT @EnvAgency: Come rain or shine we monitor rainfall &amp; river levels across country. Our rainfall #data now available as #opendata https://…",FALSE,0,NA,2017-02-16 11:25:21,FALSE,NA,"832189117043707904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DefraChiefScien",30,TRUE,FALSE,NA,NA
"#data #opendata to monitor rainfall &amp; river levels for human sustainability. #ecosystems . https://t.co/RZR1mXXzxf",FALSE,0,NA,2017-02-16 11:24:29,FALSE,NA,"832188897790656517",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asafo9th",0,FALSE,FALSE,NA,NA
"RT @Mas_Carandell: I fins aquí la sessió de l'#IxB2017 d'avui. La propera, sobre #OpenData, en un mes. https://t.co/HNvW2TPAhS",FALSE,0,NA,2017-02-16 11:23:14,FALSE,NA,"832188586392969217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UOCreus",1,TRUE,FALSE,NA,NA
"Development #OpenData Digest is out! https://t.co/opOlMKOjIt Stories from @calyxinstitute @DMAP_Lab @NGA_GEOINT #opendata #opengov",FALSE,0,NA,2017-02-16 11:22:12,FALSE,NA,"832188325867974656",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","jessicakeralis",0,FALSE,FALSE,NA,NA
"RT @seeksanusername: A suivre auj. #dataserv 
(#recherche #opendata #GestionDonnées)
prog &gt; https://t.co/1fvUyc9jZv
webcast &gt; https://t.co/…",FALSE,0,NA,2017-02-16 11:21:36,FALSE,NA,"832188171421114368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Conver_Gence",3,TRUE,FALSE,NA,NA
"RT @linuxaustralia: There's $AUD 35k in our 2017 #grant program for #opensource, #openhardware, #opendata and #opengov projects! Pls RT htt…",FALSE,0,NA,2017-02-16 11:21:29,FALSE,NA,"832188145496059904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","datakid23",20,TRUE,FALSE,NA,NA
"Come rain or shine we monitor rainfall &amp; river levels across country. Our rainfall #data now available as #opendata… https://t.co/oZlksTWzPH",FALSE,40,NA,2017-02-16 11:21:15,TRUE,NA,"832188086209613825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EnvAgency",30,FALSE,FALSE,NA,NA
"A suivre auj. #dataserv 
(#recherche #opendata #GestionDonnées)
prog &gt; https://t.co/1fvUyc9jZv
webcast &gt; https://t.co/G4H9b2W7Ij",FALSE,1,NA,2017-02-16 11:20:53,FALSE,NA,"832187992328515584",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","seeksanusername",3,FALSE,FALSE,NA,NA
